        Year      NH_HCw      SH_HCw    ITCZ_Lat
        1979   41.20247      -30.45735       14.99946    
        1980   39.90678      -30.48233       14.98599    
        1981   39.99026      -30.13240       15.38431    
        1982   40.98967      -30.66361       14.41044    
        1983   41.18412      -30.47368       13.50332    
        1984   40.96759      -30.11646       15.01281    
        1985   41.36909      -30.81602       15.04220    
        1986   42.67204      -29.32195       14.49205    
        1987   41.65660      -30.44555       13.95977    
        1988   42.49045      -30.08760       15.49675    
        1989   42.64007      -30.33898       15.38782    
        1990   42.24574      -30.74002       15.18210    
        1991   42.20037      -29.89591       14.87943    
        1992   41.17176      -30.32581       15.10288    
        1993   42.00111      -30.66417       15.28115    
        1994   42.54578      -31.09745       16.32260    
        1995   41.14508      -29.83446       15.64112    
        1996   42.24895      -29.68299       15.79731    
        1997   41.42520      -30.85390       15.38850    
        1998   41.55165      -31.69771       16.67723    
        1999   42.18130      -31.38978       17.66234    
        2000   42.09272      -30.87421       15.38475    
        2001   41.85891      -31.26318       15.95080    
        2002   43.31868      -29.94078       16.04113    
        2003   42.28730      -30.89762       15.99356    
        2004   42.36744      -30.49882       15.18733    
        2005   42.73687      -30.51791       15.86606    
        2006   43.04511      -30.69096       15.97225    
        2007   42.76630      -30.19824       15.89972    
        2008   42.18930      -30.57611       15.89965    
        2009   42.42517      -30.52953       15.05511    
        2010   42.40941      -31.05607       15.76382    
        2011   42.64957      -30.52846       16.03027    
        2012   43.43644      -30.74966       15.79173    
        2013   41.77205      -30.27864       15.74789    
